Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
Synaptosomal-associated protein 25 OS=Rattus norvegicus OX=10116 GN=Snap25 PE=1 SV=1,0.389,0.702,1.214,0.583,1.011,0.603
Syntaxin-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Stxbp1 PE=1 SV=1,0.318,0.591,0.629,0.586,0.764,0.685
Stathmin OS=Rattus norvegicus OX=10116 GN=Stmn1 PE=1 SV=2,0.504,0.533,0.678,0.688,0.899,0.74
"Cytochrome c oxidase subunit 5A, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox5a PE=1 SV=1",0.591,0.63,1.132,0.709,1.303,0.477
Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1,0.313,0.427,0.455,0.427,0.866,0.454
Tubulin beta-4B chain OS=Rattus norvegicus OX=10116 GN=Tubb4b PE=1 SV=1,0.395,0.577,0.551,0.386,0.707,0.602
Alpha-synuclein OS=Rattus norvegicus OX=10116 GN=Snca PE=1 SV=1,0.537,0.595,1.052,1.051,1.579,0.579
Tropomyosin alpha-3 chain OS=Rattus norvegicus OX=10116 GN=Tpm3 PE=1 SV=2,0.601,0.74,0.998,0.805,1.491,0.547
Small ribosomal subunit protein uS13 OS=Rattus norvegicus OX=10116 GN=Rps18 PE=1 SV=3,0.816,1.048,2.006,1.399,1.714,0.746
"Malate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mdh2 PE=1 SV=2",0.454,0.716,0.869,0.77,1.044,0.744
Ras-related protein Rab-14 OS=Rattus norvegicus OX=10116 GN=Rab14 PE=1 SV=3,0.349,0.617,1.16,0.342,1.532,0.407
Tubulin alpha-1A chain OS=Rattus norvegicus OX=10116 GN=Tuba1a PE=1 SV=1,0.341,0.564,0.569,0.592,0.897,0.624
Guanine deaminase OS=Rattus norvegicus OX=10116 GN=Gda PE=1 SV=1,0.54,0.793,1.083,0.761,1.352,0.604
Ras-related protein Rab-3A OS=Rattus norvegicus OX=10116 GN=Rab3a PE=1 SV=1,0.447,0.73,0.499,0.51,0.797,0.669
Thymosin beta-4 OS=Rattus norvegicus OX=10116 GN=Tmsb4x PE=1 SV=2,0.896,0.804,1.221,1.024,1.271,0.806
"60 kDa heat shock protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hspd1 PE=1 SV=1",0.543,0.698,0.603,0.73,0.929,0.827
"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox7a2 PE=1 SV=1",0.286,0.52,1.658,0.322,1.107,0.312
Prohibitin-2 OS=Rattus norvegicus OX=10116 GN=Phb2 PE=1 SV=1,0.301,0.414,0.637,0.736,0.828,0.862
ADP-ribosylation factor 3 OS=Rattus norvegicus OX=10116 GN=Arf3 PE=2 SV=2,0.458,0.802,0.839,0.74,0.993,0.527
Tubulin polymerization-promoting protein OS=Rattus norvegicus OX=10116 GN=Tppp PE=1 SV=1,0.494,0.593,0.727,0.62,0.661,0.784
Rab GDP dissociation inhibitor beta OS=Rattus norvegicus OX=10116 GN=Gdi2 PE=1 SV=2,0.419,6.652,3.522,0.793,0.56,1.298
"Aspartate aminotransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Got2 PE=1 SV=2",0.364,0.889,0.854,0.668,0.772,0.906
L-lactate dehydrogenase B chain OS=Rattus norvegicus OX=10116 GN=Ldhb PE=1 SV=2,0.552,0.867,1.113,0.694,0.956,0.728
14-3-3 protein theta OS=Rattus norvegicus OX=10116 GN=Ywhaq PE=1 SV=1,0.544,0.723,0.796,0.793,1.08,0.667
Glutathione S-transferase Mu 1 OS=Rattus norvegicus OX=10116 GN=Gstm1 PE=1 SV=2,0.444,0.39,0.28,0.633,0.332,0.807
Beta-synuclein OS=Rattus norvegicus OX=10116 GN=Sncb PE=1 SV=1,0.502,0.628,0.813,0.815,1.106,0.844
Small ribosomal subunit protein eS19 OS=Rattus norvegicus OX=10116 GN=Rps19 PE=1 SV=3,0.586,0.938,1.739,1.367,1.726,0.811
Guanine nucleotide-binding protein G(o) subunit alpha OS=Rattus norvegicus OX=10116 GN=Gnao1 PE=1 SV=2,0.435,0.692,0.784,0.53,0.879,0.651
Small ribosomal subunit protein uS15 OS=Rattus norvegicus OX=10116 GN=Rps13 PE=1 SV=2,0.44,0.458,1.514,0.986,1.631,0.587
V-type proton ATPase subunit E 1 OS=Rattus norvegicus OX=10116 GN=Atp6v1e1 PE=1 SV=1,0.364,0.656,0.749,0.668,0.882,0.74
Rho GDP-dissociation inhibitor 1 OS=Rattus norvegicus OX=10116 GN=Arhgdia PE=1 SV=1,0.496,0.607,0.608,0.812,0.775,0.873
"Glutamate dehydrogenase 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Glud1 PE=1 SV=2",0.433,0.73,0.888,0.843,1.124,0.669
Small ribosomal subunit protein eS4 OS=Rattus norvegicus OX=10116 GN=Rps4x PE=1 SV=2,0.679,0.735,2.051,1.439,2.387,0.603
Vesicle-fusing ATPase OS=Rattus norvegicus OX=10116 GN=Nsf PE=1 SV=1,0.376,0.64,0.595,0.479,0.857,0.579
"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrc2 PE=1 SV=2",0.481,0.738,0.93,0.647,0.943,0.704
"Aconitate hydratase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aco2 PE=1 SV=2",0.416,0.806,0.907,0.665,0.916,0.791
CB1 cannabinoid receptor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Cnrip1 PE=1 SV=1,0.551,0.717,1.032,0.338,0.99,0.858
Profilin-2 OS=Rattus norvegicus OX=10116 GN=Pfn2 PE=1 SV=3,0.375,0.622,0.79,0.848,0.94,0.865
Histone H2B type 1 OS=Rattus norvegicus OX=10116 PE=1 SV=2,0.558,0.566,1.115,0.666,1.531,0.497
Histone H4 OS=Rattus norvegicus OX=10116 GN=H4c2 PE=1 SV=2,0.603,0.57,1.255,0.816,1.494,0.635
Adenylate kinase isoenzyme 1 OS=Rattus norvegicus OX=10116 GN=Ak1 PE=1 SV=3,0.47,0.952,1.143,0.595,0.736,0.511
"ATP synthase subunit gamma, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1c PE=1 SV=2",0.492,0.645,1.188,0.636,1.013,0.696
Ig gamma-2C chain C region OS=Rattus norvegicus OX=10116 PE=2 SV=1,4.008,1.397,1.548,6.928,6.272,1.506
Ig gamma-1 chain C region OS=Rattus norvegicus OX=10116 PE=1 SV=1,4.436,1.021,1.657,5.364,8.322,1.176
Glutathione S-transferase P OS=Rattus norvegicus OX=10116 GN=Gstp1 PE=1 SV=2,0.419,0.499,0.729,0.777,0.993,0.817
"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5pf PE=1 SV=1",0.45,0.434,0.835,0.595,0.846,0.622
Calreticulin OS=Rattus norvegicus OX=10116 GN=Calr PE=1 SV=1,0.644,0.686,0.915,0.844,1.138,0.798
Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Rattus norvegicus OX=10116 GN=Pcmt1 PE=1 SV=2,0.696,0.767,0.685,0.677,1.03,0.729
Transthyretin OS=Rattus norvegicus OX=10116 GN=Ttr PE=1 SV=1,3.791,1.002,1.435,3.632,2.707,1.191
Ketimine reductase mu-crystallin OS=Rattus norvegicus OX=10116 GN=Crym PE=1 SV=1,0.502,0.712,0.849,0.667,1.328,0.58
Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=1 SV=2,0.475,0.742,0.864,0.532,0.912,0.611
Synapsin-1 OS=Rattus norvegicus OX=10116 GN=Syn1 PE=1 SV=3,0.425,0.68,0.643,0.427,0.485,0.859
Ubiquitin-ribosomal protein eL40 fusion protein OS=Rattus norvegicus OX=10116 GN=Uba52 PE=1 SV=2,0.656,0.761,0.595,1.026,0.48,1.911
Heat shock factor-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Hsbp1 PE=3 SV=1,0.052,0.01,0.084,0.3,1,1
Parkinson disease protein 7 homolog OS=Rattus norvegicus OX=10116 GN=Park7 PE=1 SV=1,0.493,0.589,0.931,0.602,1.03,0.581
Transcriptional activator protein Pur-alpha (Fragment) OS=Rattus norvegicus OX=10116 GN=Pura PE=1 SV=1,0.364,0.627,0.167,0.672,0.199,6.661
Tropomyosin alpha-1 chain OS=Rattus norvegicus OX=10116 GN=Tpm1 PE=1 SV=3,0.546,0.421,0.939,0.63,1.127,0.598
"V-type proton ATPase subunit B, brain isoform OS=Rattus norvegicus OX=10116 GN=Atp6v1b2 PE=1 SV=1",0.386,0.718,0.914,0.853,1.119,0.815
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Pdhb PE=1 SV=2",0.375,0.589,0.695,0.682,0.879,0.698
Macrophage migration inhibitory factor OS=Rattus norvegicus OX=10116 GN=Mif PE=1 SV=4,0.321,0.501,0.847,0.731,0.905,0.764
Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Rattus norvegicus OX=10116 GN=Camk2a PE=1 SV=1,0.436,0.589,0.711,0.771,1.475,0.5
Protein kinase C and casein kinase substrate in neurons protein 1 OS=Rattus norvegicus OX=10116 GN=Pacsin1 PE=1 SV=1,0.491,0.786,0.863,0.623,0.818,0.805
"Peroxiredoxin-5, mitochondrial OS=Rattus norvegicus OX=10116 GN=Prdx5 PE=1 SV=1",0.376,0.591,0.749,0.906,0.854,0.891
Microtubule-associated protein 2 OS=Rattus norvegicus OX=10116 GN=Map2 PE=1 SV=3,0.728,0.758,0.754,0.571,0.739,0.673
"ATP synthase subunit g, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5mg PE=1 SV=2",0.262,4.619,1,0.055,0.118,1
Syntaxin-1B OS=Rattus norvegicus OX=10116 GN=Stx1b PE=1 SV=1,0.447,0.744,0.849,0.558,0.884,0.633
Complexin-2 OS=Rattus norvegicus OX=10116 GN=Cplx2 PE=1 SV=1,0.402,0.613,0.893,0.734,0.724,0.667
Serotransferrin OS=Rattus norvegicus OX=10116 GN=Tf PE=1 SV=3,3.936,1.008,1.5,9.465,7.916,1.185
Cytochrome c oxidase subunit 6C-2 OS=Rattus norvegicus OX=10116 GN=Cox6c2 PE=1 SV=3,0.432,0.783,0.991,0.603,1.049,0.675
"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufv2 PE=1 SV=2",0.377,0.5,0.888,0.704,1.019,0.589
