Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
Proteasome subunit alpha type-3 OS=Rattus norvegicus OX=10116 GN=Psma3 PE=1 SV=3,0.355,0.426,0.125,0.613,0.159,6.714
Septin-7 OS=Rattus norvegicus OX=10116 GN=Septin7 PE=1 SV=1,0.339,0.563,0.746,0.753,0.839,0.884
Small ribosomal subunit protein uS10 OS=Rattus norvegicus OX=10116 GN=Rps20 PE=1 SV=1,0.898,0.859,1.462,1.113,2.24,0.656
Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Rattus norvegicus OX=10116 GN=Anp32a PE=2 SV=1,0.666,1.067,0.568,1.339,0.729,3.705
Coactosin-like protein OS=Rattus norvegicus OX=10116 GN=Cotl1 PE=1 SV=1,0.777,0.892,0.816,1.794,1.355,1.12
Cathepsin G OS=Rattus norvegicus OX=10116 GN=Ctsg PE=1 SV=2,100,100,100,100,100,5.85
Small ribosomal subunit protein eS25 OS=Rattus norvegicus OX=10116 GN=Rps25 PE=2 SV=1,0.547,0.614,0.569,0.801,0.924,0.867
Voltage-dependent anion-selective channel protein 2 OS=Rattus norvegicus OX=10116 GN=Vdac2 PE=1 SV=2,0.375,0.733,1.168,0.598,1.04,0.526
2-oxoglutarate dehydrogenase complex component E1 OS=Rattus norvegicus OX=10116 GN=Ogdh PE=1 SV=1,0.418,6.556,1,0.23,0.01,7.019
Elongation factor 2 OS=Rattus norvegicus OX=10116 GN=Eef2 PE=1 SV=4,0.521,0.7,1.093,0.862,0.992,0.974
Ubiquitin-like modifier-activating enzyme 1 OS=Rattus norvegicus OX=10116 GN=Uba1 PE=1 SV=1,0.373,0.525,1.457,0.553,1.309,0.58
Dynein light chain roadblock-type 1 OS=Rattus norvegicus OX=10116 GN=Dynlrb1 PE=1 SV=3,0.01,0.01,1,0.784,1,1
Ras-related protein Rab-5A OS=Rattus norvegicus OX=10116 GN=Rab5a PE=2 SV=1,0.624,0.604,0.01,0.01,0.167,0.01
Carbonic anhydrase 1 OS=Rattus norvegicus OX=10116 GN=Ca1 PE=1 SV=1,15.419,2.016,1.328,12.754,8.716,1.187
Cell adhesion molecule 3 OS=Rattus norvegicus OX=10116 GN=Cadm3 PE=1 SV=1,0.347,0.33,0.464,0.366,0.578,0.631
Chronophin OS=Rattus norvegicus OX=10116 GN=Pdxp PE=1 SV=2,0.659,0.664,1.196,0.047,1.75,0.071
Proteasome subunit alpha type-1 OS=Rattus norvegicus OX=10116 GN=Psma1 PE=1 SV=2,0.486,0.276,0.696,1.127,0.859,1.06
Acylphosphatase-2 OS=Rattus norvegicus OX=10116 GN=Acyp2 PE=1 SV=2,0.618,7.552,7.757,0.621,0.906,0.686
Beta-soluble NSF attachment protein OS=Rattus norvegicus OX=10116 GN=Napb PE=1 SV=1,0.804,0.778,0.678,0.737,0.783,0.992
Translationally-controlled tumor protein OS=Rattus norvegicus OX=10116 GN=Tpt1 PE=1 SV=1,0.431,0.402,0.865,1.325,1.22,1.078
Neuroplastin OS=Rattus norvegicus OX=10116 GN=Nptn PE=1 SV=2,0.375,0.461,0.554,0.55,0.639,0.721
"Dynein light chain 1, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Dynll1 PE=1 SV=1",0.815,1.353,1.496,0.798,1.538,0.897
Aldo-keto reductase family 1 member B1 OS=Rattus norvegicus OX=10116 GN=Akr1b1 PE=1 SV=3,0.752,0.693,0.792,1.033,1.018,0.944
Voltage-dependent anion-selective channel protein 3 OS=Rattus norvegicus OX=10116 GN=Vdac3 PE=1 SV=2,0.235,0.241,0.452,0.59,0.612,0.892
Large ribosomal subunit protein eL28 OS=Rattus norvegicus OX=10116 GN=Rpl28 PE=1 SV=4,0.712,0.376,0.901,0.944,1.755,0.58
"Fatty acid-binding protein, heart OS=Rattus norvegicus OX=10116 GN=Fabp3 PE=1 SV=2",5.901,10.032,0.01,0.559,0.01,100
Cytosolic acyl coenzyme A thioester hydrolase OS=Rattus norvegicus OX=10116 GN=Acot7 PE=1 SV=4,0.578,0.812,1.008,0.812,1.321,0.578
Small ribosomal subunit protein uS12 OS=Rattus norvegicus OX=10116 GN=Rps23 PE=1 SV=3,0.391,0.569,1.147,1.207,2.495,0.463
Inositol monophosphatase 1 OS=Rattus norvegicus OX=10116 GN=Impa1 PE=1 SV=2,0.746,0.926,0.92,0.793,1.069,0.561
Desmoplakin OS=Rattus norvegicus OX=10116 GN=Dsp PE=1 SV=1,1.42,1.355,0.412,0.732,0.259,2.733
Heat shock protein beta-1 OS=Rattus norvegicus OX=10116 GN=Hspb1 PE=1 SV=1,100,0.831,1.014,100,100,1.336
Plasma membrane calcium-transporting ATPase 4 OS=Rattus norvegicus OX=10116 GN=Atp2b4 PE=1 SV=1,0.428,0.726,1.265,0.721,1.474,0.743
Plasma membrane calcium-transporting ATPase 2 OS=Rattus norvegicus OX=10116 GN=Atp2b2 PE=1 SV=2,0.389,0.637,0.84,0.511,0.782,0.678
Heat shock protein 105 kDa OS=Rattus norvegicus OX=10116 GN=Hsph1 PE=1 SV=1,0.268,0.448,0.154,0.989,0.214,7.573
Vimentin OS=Rattus norvegicus OX=10116 GN=Vim PE=1 SV=2,0.847,0.814,1.463,1.382,1.432,0.924
Cell adhesion molecule 2 OS=Rattus norvegicus OX=10116 GN=Cadm2 PE=1 SV=2,0.364,0.403,0.686,0.398,0.686,0.58
Protein dpy-30 homolog OS=Rattus norvegicus OX=10116 GN=Dpy30 PE=1 SV=1,,,,,,
Heat shock 70 kDa protein 4 OS=Rattus norvegicus OX=10116 GN=Hspa4 PE=1 SV=1,0.354,0.626,1.453,0.636,1.192,0.509
Platelet-activating factor acetylhydrolase IB subunit alpha2 OS=Rattus norvegicus OX=10116 GN=Pafah1b2 PE=1 SV=1,0.525,0.478,0.701,0.7,1.045,0.7
V-type proton ATPase 16 kDa proteolipid subunit c OS=Rattus norvegicus OX=10116 GN=Atp6v0c PE=1 SV=1,0.01,,,0.01,0.01,
Ras-related protein Ral-A OS=Rattus norvegicus OX=10116 GN=Rala PE=1 SV=1,0.581,0.692,0.146,0.4,0.15,6.078
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufs2 PE=1 SV=1",0.308,0.35,0.277,0.909,0.77,0.64
LIM and SH3 domain protein 1 OS=Rattus norvegicus OX=10116 GN=Lasp1 PE=1 SV=1,0.607,0.655,0.559,0.587,0.605,0.765
Neurocalcin-delta OS=Rattus norvegicus OX=10116 GN=Ncald PE=1 SV=3,0.01,0.01,0.01,0.01,0.01,
Small ribosomal subunit protein uS14 OS=Rattus norvegicus OX=10116 GN=Rps29 PE=1 SV=2,0.725,0.687,2.515,0.179,1.527,0.073
Histone H1.4 OS=Rattus norvegicus OX=10116 GN=H1-4 PE=1 SV=3,0.658,0.565,1.41,0.472,1.598,0.365
Stress-induced-phosphoprotein 1 OS=Rattus norvegicus OX=10116 GN=Stip1 PE=1 SV=1,0.454,0.573,0.687,0.639,1.064,0.521
Mitochondrial glutamate carrier 1 OS=Rattus norvegicus OX=10116 GN=Slc25a22 PE=2 SV=1,0.425,0.595,0.55,0.725,0.925,0.784
Cytochrome c oxidase subunit 2 OS=Rattus norvegicus OX=10116 GN=Mt-co2 PE=1 SV=3,0.359,0.706,1.17,0.619,1.075,0.552
Complement C1q subcomponent subunit B OS=Rattus norvegicus OX=10116 GN=C1qb PE=1 SV=2,4.266,1.084,1.047,8.287,19.105,0.901
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 OS=Rattus norvegicus OX=10116 GN=Ndufb1 PE=3 SV=1,0.724,6.805,5.474,5.376,5.234,0.434
Excitatory amino acid transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc1a3 PE=1 SV=2,0.257,0.252,0.615,0.539,0.616,0.876
Alpha-centractin OS=Rattus norvegicus OX=10116 GN=Actr1a PE=1 SV=1,0.172,0.054,0.106,0.369,1,1
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufs6 PE=3 SV=1",0.686,0.871,1.306,0.697,1.025,0.68
Calnexin OS=Rattus norvegicus OX=10116 GN=Canx PE=1 SV=1,0.608,0.609,0.682,0.768,1.347,0.587
Myelin proteolipid protein OS=Rattus norvegicus OX=10116 GN=Plp1 PE=1 SV=2,1.688,0.812,1.054,0.484,0.703,0.651
Neurotrimin OS=Rattus norvegicus OX=10116 GN=Ntm PE=1 SV=1,0.424,1.258,2.272,0.395,1.035,0.643
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Rattus norvegicus OX=10116 GN=Bpnt1 PE=1 SV=1",0.644,0.787,0.186,1.397,0.254,5.815
"Aldehyde dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aldh2 PE=1 SV=1",0.38,0.665,1.28,0.596,1.033,0.577
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Rattus norvegicus OX=10116 GN=Sdhb PE=2 SV=2",0.472,0.696,1.059,0.724,1.246,0.622
NSFL1 cofactor p47 OS=Rattus norvegicus OX=10116 GN=Nsfl1c PE=1 SV=1,0.758,0.662,3.47,0.791,1.814,0.602
AP-2 complex subunit beta OS=Rattus norvegicus OX=10116 GN=Ap2b1 PE=1 SV=1,0.38,0.675,0.644,0.686,0.637,0.669
Neuron-specific calcium-binding protein hippocalcin OS=Rattus norvegicus OX=10116 GN=Hpca PE=1 SV=2,0.424,0.852,0.588,0.55,0.733,0.831
Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=3,1.911,1.498,3.504,3.563,3.56,0.457
Tenascin-R OS=Rattus norvegicus OX=10116 GN=Tnr PE=1 SV=1,0.35,0.829,0.607,0.607,0.83,0.589
Myc box-dependent-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Bin1 PE=1 SV=1,0.66,0.586,0.873,0.678,1.021,0.629
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Rattus norvegicus OX=10116 GN=Dlst PE=1 SV=2",0.439,0.777,0.793,0.603,0.819,0.659
Endophilin-B2 OS=Rattus norvegicus OX=10116 GN=Sh3glb2 PE=1 SV=2,0.661,0.596,1.404,0.946,1.675,0.744
"ATP-dependent 6-phosphofructokinase, liver type OS=Rattus norvegicus OX=10116 GN=Pfkl PE=1 SV=3",0.433,0.608,3.468,0.95,1.15,0.307
Microtubule-associated proteins 1A/1B light chain 3A OS=Rattus norvegicus OX=10116 GN=Map1lc3a PE=1 SV=1,0.404,0.996,0.18,0.571,0.156,8.949
Solute carrier family 12 member 5 OS=Rattus norvegicus OX=10116 GN=Slc12a5 PE=1 SV=2,0.358,0.588,1.172,0.17,1.31,
"ATP synthase subunit delta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1d PE=1 SV=2",0.824,0.9,0.903,0.649,0.94,0.676
Saccharopine dehydrogenase-like oxidoreductase OS=Rattus norvegicus OX=10116 GN=Sccpdh PE=1 SV=1,0.055,0.372,1,0.01,1,0.01
Dihydropyrimidinase-related protein 3 OS=Rattus norvegicus OX=10116 GN=Dpysl3 PE=1 SV=2,0.629,0.577,0.01,0.366,1,1
Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Rattus norvegicus OX=10116 GN=Sirpa PE=1 SV=1,0.754,0.674,1.067,0.573,1,0.56
Heterogeneous nuclear ribonucleoprotein K OS=Rattus norvegicus OX=10116 GN=Hnrnpk PE=1 SV=1,0.399,5.661,1,0.964,0.181,7.268
Actin-related protein 2/3 complex subunit 5-like protein OS=Rattus norvegicus OX=10116 GN=Arpc5l PE=1 SV=2,0.316,0.544,0.82,0.793,1.216,0.604
Homer protein homolog 1 OS=Rattus norvegicus OX=10116 GN=Homer1 PE=1 SV=2,0.182,0.051,0.041,6.722,0.311,10.163
Mitochondrial import inner membrane translocase subunit Tim9 OS=Rattus norvegicus OX=10116 GN=Timm9 PE=1 SV=3,0.075,0.096,1.633,6.4,9.26,0.428
Syntaxin-12 OS=Rattus norvegicus OX=10116 GN=Stx12 PE=1 SV=1,1,0.479,0.01,0.06,0.01,1
Small ribosomal subunit protein eS1 OS=Rattus norvegicus OX=10116 GN=Rps3a PE=1 SV=2,0.523,0.706,1.173,1.145,1.92,0.604
Secretory carrier-associated membrane protein 1 OS=Rattus norvegicus OX=10116 GN=Scamp1 PE=1 SV=1,0.102,0.182,0.01,0.01,0.01,
Neuronal membrane glycoprotein M6-a OS=Rattus norvegicus OX=10116 GN=Gpm6a PE=1 SV=1,0.635,0.833,0.811,0.546,0.806,0.944
Glutathione S-transferase Mu 5 OS=Rattus norvegicus OX=10116 GN=Gstm5 PE=1 SV=3,6.47,1.043,0.732,0.254,0.247,1.03
Adenosylhomocysteinase OS=Rattus norvegicus OX=10116 GN=Ahcy PE=1 SV=3,0.472,0.775,1.24,1.002,1.336,0.668
AP-2 complex subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Ap2a2 PE=1 SV=3,0.358,0.801,1.056,0.964,1.231,0.718
Destrin OS=Rattus norvegicus OX=10116 GN=Dstn PE=1 SV=3,0.429,0.066,0.153,0.511,1,1
"Cytochrome c oxidase subunit 6A1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox6a1 PE=1 SV=2",0.149,0.271,0.709,0.053,0.503,0.118
Cell adhesion molecule 1 OS=Rattus norvegicus OX=10116 GN=Cadm1 PE=1 SV=1,0.169,0.16,0.085,3.189,1,10.149
CD166 antigen OS=Rattus norvegicus OX=10116 GN=Alcam PE=1 SV=1,0.33,7.423,5.15,0.544,0.808,0.422
Drebrin OS=Rattus norvegicus OX=10116 GN=Dbn1 PE=1 SV=3,0.441,0.475,1.248,1.053,1.533,0.645
Paralemmin-1 OS=Rattus norvegicus OX=10116 GN=Palm PE=1 SV=1,0.387,0.922,0.573,0.216,0.653,1.221
Membrane-associated progesterone receptor component 1 OS=Rattus norvegicus OX=10116 GN=Pgrmc1 PE=1 SV=3,0.511,0.535,0.847,0.763,1.376,0.604
Clathrin coat assembly protein AP180 OS=Rattus norvegicus OX=10116 GN=Snap91 PE=1 SV=1,0.32,0.508,0.63,0.587,0.79,0.532
NAD-dependent protein deacetylase sirtuin-2 OS=Rattus norvegicus OX=10116 GN=Sirt2 PE=1 SV=1,0.72,6.333,6.05,0.561,0.985,0.57
Heterogeneous nuclear ribonucleoprotein A3 OS=Rattus norvegicus OX=10116 GN=Hnrnpa3 PE=1 SV=1,1,1,1,0.01,1,0.01
Microtubule-associated protein 1A OS=Rattus norvegicus OX=10116 GN=Map1a PE=1 SV=1,0.472,0.594,0.767,0.517,0.752,0.725
Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus OX=10116 GN=Otub1 PE=1 SV=1,0.281,0.643,0.01,1,1,0.398
EF-hand domain-containing protein D2 OS=Rattus norvegicus OX=10116 GN=Efhd2 PE=1 SV=1,1.05,1.046,0.102,0.838,0.135,10.581
Cysteine-rich protein 2 OS=Rattus norvegicus OX=10116 GN=Crip2 PE=2 SV=1,,,,,,
Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Gnai2 PE=1 SV=3,0.01,0.01,0.01,0.01,0.01,
Myristoylated alanine-rich C-kinase substrate OS=Rattus norvegicus OX=10116 GN=Marcks PE=1 SV=2,0.618,0.789,0.968,0.911,1.144,0.828
Platelet-activating factor acetylhydrolase IB subunit alpha OS=Rattus norvegicus OX=10116 GN=Pafah1b1 PE=1 SV=2,0.517,0.847,0.18,0.856,0.198,6.814
Ras-related protein Rab-13 OS=Rattus norvegicus OX=10116 GN=Rab13 PE=1 SV=2,,,,,,
OX-2 membrane glycoprotein OS=Rattus norvegicus OX=10116 GN=Cd200 PE=2 SV=1,0.285,0.494,0.852,0.763,1.236,0.749
Mitochondrial import inner membrane translocase subunit Tim13 OS=Rattus norvegicus OX=10116 GN=Timm13 PE=3 SV=1,,,,,,
Small ribosomal subunit protein uS17 OS=Rattus norvegicus OX=10116 GN=Rps11 PE=1 SV=3,0.92,0.747,1.591,0.825,1.936,0.552
Ras-related protein Rab-6A OS=Rattus norvegicus OX=10116 GN=Rab6a PE=1 SV=2,0.01,1,1,1,1,1.506
Small ribosomal subunit protein uS9 OS=Rattus norvegicus OX=10116 GN=Rps16 PE=1 SV=2,0.466,0.74,1.684,1.221,2.009,0.543
Neuronal cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Nrcam PE=1 SV=2,0.538,0.345,0.796,0.435,,0.421
ProSAAS OS=Rattus norvegicus OX=10116 GN=Pcsk1n PE=1 SV=1,0.071,0.088,0.938,0.899,1.311,0.783
Adenylyl cyclase-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Cap1 PE=1 SV=3,0.01,0.01,1,0.01,1,0.01
Proteasome subunit alpha type-2 OS=Rattus norvegicus OX=10116 GN=Psma2 PE=1 SV=3,0.01,0.01,0.01,0.522,0.01,100
Serine protease inhibitor A3L OS=Rattus norvegicus OX=10116 GN=Serpina3l PE=1 SV=3,1.626,0.994,1.18,3.034,1.727,0.976
Large ribosomal subunit protein P1 OS=Rattus norvegicus OX=10116 GN=Rplp1 PE=3 SV=1,,,,,,
Neurofascin OS=Rattus norvegicus OX=10116 GN=Nfasc PE=1 SV=2,0.36,0.464,0.569,0.618,0.718,0.713
Src substrate cortactin OS=Rattus norvegicus OX=10116 GN=Cttn PE=1 SV=1,0.241,0.397,0.711,0.697,0.986,0.976
Ubiquitin-conjugating enzyme E2 variant 2 OS=Rattus norvegicus OX=10116 GN=Ube2v2 PE=1 SV=3,0.392,0.793,0.089,4.562,1,9.893
Calbindin OS=Rattus norvegicus OX=10116 GN=Calb1 PE=1 SV=2,0.468,0.634,1.011,0.062,1.342,0.078
Synaptophysin OS=Rattus norvegicus OX=10116 GN=Syp PE=1 SV=1,0.307,0.526,0.802,0.447,0.575,0.77
T-complex protein 1 subunit beta OS=Rattus norvegicus OX=10116 GN=Cct2 PE=1 SV=3,0.249,4.655,1,0.087,0.147,1
Annexin A3 OS=Rattus norvegicus OX=10116 GN=Anxa3 PE=1 SV=4,0.826,0.659,0.185,11.412,1,7.258
Urotensin-2B OS=Rattus norvegicus OX=10116 GN=Uts2b PE=1 SV=1,,,,,,
Hippocalcin-like protein 1 OS=Rattus norvegicus OX=10116 GN=Hpcal1 PE=1 SV=2,0.222,0.737,0.01,0.01,0.01,
Band 4.1-like protein 1 OS=Rattus norvegicus OX=10116 GN=Epb41l1 PE=1 SV=1,0.624,0.519,0.836,0.832,1.483,0.824
Histone H1.0 OS=Rattus norvegicus OX=10116 GN=H1-0 PE=2 SV=2,0.037,0.041,4.974,0.085,2.078,0.01
Prothymosin alpha OS=Rattus norvegicus OX=10116 GN=Ptma PE=1 SV=2,1.163,0.663,0.863,0.878,1.096,0.801
Large ribosomal subunit protein eL24 OS=Rattus norvegicus OX=10116 GN=Rpl24 PE=2 SV=1,0.314,0.555,1.238,0.079,1.209,0.046
Small ribosomal subunit protein eS6 OS=Rattus norvegicus OX=10116 GN=Rps6 PE=1 SV=1,0.387,0.487,0.876,0.851,1.151,0.759
Vesicle-associated membrane protein-associated protein A OS=Rattus norvegicus OX=10116 GN=Vapa PE=1 SV=3,0.451,0.636,0.683,0.049,0.974,0.083
Guanine nucleotide-binding protein subunit beta-4 OS=Rattus norvegicus OX=10116 GN=Gnb4 PE=2 SV=4,,,,,,
Coronin-1A OS=Rattus norvegicus OX=10116 GN=Coro1a PE=1 SV=3,0.333,0.664,0.834,0.824,1.006,0.803
Guanine nucleotide-binding protein G(q) subunit alpha OS=Rattus norvegicus OX=10116 GN=Gnaq PE=2 SV=2,0.223,6.055,1,1,1,0.412
Proteasome subunit beta type-6 OS=Rattus norvegicus OX=10116 GN=Psmb6 PE=1 SV=3,0.82,0.738,0.827,0.64,0.983,0.317
Vitamin D-binding protein OS=Rattus norvegicus OX=10116 GN=Gc PE=1 SV=3,11.649,1.098,2.478,100,100,0.755
Eukaryotic translation initiation factor 5A-1 OS=Rattus norvegicus OX=10116 GN=Eif5a PE=1 SV=3,0.287,0.531,0.896,0.531,0.75,0.632
Transgelin OS=Rattus norvegicus OX=10116 GN=Tagln PE=1 SV=2,1.293,8.816,12.195,0.571,9.682,0.078
Basigin OS=Rattus norvegicus OX=10116 GN=Bsg PE=1 SV=2,0.539,0.675,0.78,0.612,0.941,0.629
T-complex protein 1 subunit gamma OS=Rattus norvegicus OX=10116 GN=Cct3 PE=1 SV=1,0.442,0.703,0.061,0.461,0.045,11.01
Cytosolic non-specific dipeptidase OS=Rattus norvegicus OX=10116 GN=Cndp2 PE=1 SV=1,0.68,0.993,0.966,0.99,1.247,0.676
H/ACA ribonucleoprotein complex subunit 1 OS=Rattus norvegicus OX=10116 GN=Gar1 PE=2 SV=1,0.316,0.171,0.112,0.348,0.108,3.15
Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Rattus norvegicus OX=10116 GN=Lhpp PE=2 SV=1,0.456,5.285,1,0.058,0.202,1
Actin-related protein 2/3 complex subunit 5 OS=Rattus norvegicus OX=10116 GN=Arpc5 PE=1 SV=3,0.49,0.709,0.132,0.951,0.139,8.31
Ras-related protein Rap-2b OS=Rattus norvegicus OX=10116 GN=Rap2b PE=2 SV=1,0.501,7.328,1,0.01,1,0.01
Tropomodulin-2 OS=Rattus norvegicus OX=10116 GN=Tmod2 PE=1 SV=1,0.602,0.756,0.64,0.613,0.651,0.942
Reticulon-1 OS=Rattus norvegicus OX=10116 GN=Rtn1 PE=1 SV=1,0.55,0.793,0.771,0.708,0.771,0.916
Thiosulfate sulfurtransferase OS=Rattus norvegicus OX=10116 GN=Tst PE=1 SV=3,0.062,0.392,100,7.719,13.872,0.676
Large ribosomal subunit protein eL8 OS=Rattus norvegicus OX=10116 GN=Rpl7a PE=1 SV=2,0.705,1.116,1.719,1.098,1.664,0.7
Brevican core protein OS=Rattus norvegicus OX=10116 GN=Bcan PE=1 SV=2,0.409,0.774,1.113,0.462,1.015,0.44
Bleomycin hydrolase OS=Rattus norvegicus OX=10116 GN=Blmh PE=1 SV=1,0.52,0.727,0.602,1.249,0.878,1.272
"Keratin, type II cytoskeletal 1b OS=Rattus norvegicus OX=10116 GN=Krt77 PE=3 SV=1",1,100,,100,,100
"Glutaminase kidney isoform, mitochondrial OS=Rattus norvegicus OX=10116 GN=Gls PE=1 SV=2",0.861,0.771,0.52,0.644,0.718,0.949
Alpha-adducin OS=Rattus norvegicus OX=10116 GN=Add1 PE=1 SV=2,0.45,0.525,0.129,0.79,0.146,6.638
T-complex protein 1 subunit epsilon OS=Rattus norvegicus OX=10116 GN=Cct5 PE=1 SV=1,0.194,0.365,6.546,0.01,0.468,0.01
Large ribosomal subunit protein eL29 OS=Rattus norvegicus OX=10116 GN=Rpl29 PE=1 SV=3,0.578,0.418,1.339,0.935,2.38,0.393
Peptidyl-prolyl cis-trans isomerase D OS=Rattus norvegicus OX=10116 GN=Ppid PE=1 SV=3,0.391,0.431,0.971,0.053,1.173,0.083
"Keratin, type II cytoskeletal 1 OS=Rattus norvegicus OX=10116 GN=Krt1 PE=2 SV=1",0.01,,,,,
Vesicle-trafficking protein SEC22b OS=Rattus norvegicus OX=10116 GN=Sec22b PE=1 SV=3,5.723,7.385,0.01,5.449,0.01,100
V-type proton ATPase subunit C 1 OS=Rattus norvegicus OX=10116 GN=Atp6v1c1 PE=1 SV=1,0.386,1.065,0.146,0.582,0.185,6.102
Protein IMPACT OS=Rattus norvegicus OX=10116 GN=Impact PE=1 SV=1,1.547,1.453,1,1.944,1,1
Endophilin-A2 OS=Rattus norvegicus OX=10116 GN=Sh3gl1 PE=1 SV=1,0.613,7,1,0.01,1,0.01
Secretory carrier-associated membrane protein 5 OS=Rattus norvegicus OX=10116 GN=Scamp5 PE=2 SV=1,0.341,0.391,0.472,0.49,0.741,0.661
Small ribosomal subunit protein eS7 OS=Rattus norvegicus OX=10116 GN=Rps7 PE=1 SV=1,0.419,0.784,1.257,1.13,1.916,0.557
"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Suclg1 PE=2 SV=2",0.312,0.64,0.01,0.065,0.12,1
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Rattus norvegicus OX=10116 GN=Idh1 PE=1 SV=1,0.729,6.809,1,7.527,1,9.33
Large ribosomal subunit protein uL24 OS=Rattus norvegicus OX=10116 GN=Rpl26 PE=1 SV=1,0.571,0.628,1.423,0.066,1.946,0.064
Large ribosomal subunit protein eL18 OS=Rattus norvegicus OX=10116 GN=Rpl18 PE=1 SV=2,0.559,1.05,1.749,0.921,1.533,0.601
High mobility group protein B1 OS=Rattus norvegicus OX=10116 GN=Hmgb1 PE=1 SV=2,1.146,0.641,0.6,0.769,1.05,0.932
Heterogeneous nuclear ribonucleoprotein H2 OS=Rattus norvegicus OX=10116 GN=Hnrnph2 PE=1 SV=1,0.496,0.62,1.347,0.664,2.456,0.61
Small ribosomal subunit protein eS8 OS=Rattus norvegicus OX=10116 GN=Rps8 PE=1 SV=2,0.722,0.888,0.129,0.825,0.135,8.565
Endoplasmic reticulum resident protein 29 OS=Rattus norvegicus OX=10116 GN=Erp29 PE=1 SV=2,0.047,0.041,0.099,0.584,1,1
Large ribosomal subunit protein uL30 OS=Rattus norvegicus OX=10116 GN=Rpl7 PE=1 SV=2,0.32,100,1,6.373,1,7.868
cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Rattus norvegicus OX=10116 GN=Prkar2a PE=1 SV=4,0.414,6.004,5.321,6.054,5.771,0.652
"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh3g PE=1 SV=2",0.382,0.578,0.872,0.919,0.925,0.895
Phosphatidylinositol transfer protein alpha isoform OS=Rattus norvegicus OX=10116 GN=Pitpna PE=1 SV=2,0.378,0.499,1.355,0.558,1.732,0.235
MARCKS-related protein OS=Rattus norvegicus OX=10116 GN=Marcksl1 PE=2 SV=3,0.2,0.224,0.447,0.685,0.661,0.892
Neuronal growth regulator 1 OS=Rattus norvegicus OX=10116 GN=Negr1 PE=1 SV=1,0.3,0.738,1.374,0.698,1.57,0.405
Peroxiredoxin-like 2A OS=Rattus norvegicus OX=10116 GN=Prxl2a PE=1 SV=1,,,,,,
Small ribosomal subunit protein eS10 OS=Rattus norvegicus OX=10116 GN=Rps10 PE=1 SV=1,0.33,0.47,1.255,0.087,0.643,0.092
Large ribosomal subunit protein eL33 OS=Rattus norvegicus OX=10116 GN=Rpl35a PE=1 SV=1,0.307,0.522,0.808,7.897,7.393,0.794
Small ubiquitin-related modifier 3 OS=Rattus norvegicus OX=10116 GN=Sumo3 PE=3 SV=1,0.594,7.535,13.934,0.918,0.978,0.939
Hsc70-interacting protein OS=Rattus norvegicus OX=10116 GN=St13 PE=1 SV=1,0.411,0.773,0.945,0.882,1.185,0.755
cAMP-dependent protein kinase type II-beta regulatory subunit OS=Rattus norvegicus OX=10116 GN=Prkar2b PE=1 SV=3,0.663,0.62,0.953,1.033,1.718,0.66
Heterogeneous nuclear ribonucleoprotein D0 OS=Rattus norvegicus OX=10116 GN=Hnrnpd PE=1 SV=2,0.051,0.754,1,7.273,0.179,9.969
Latexin OS=Rattus norvegicus OX=10116 GN=Lxn PE=1 SV=1,1.121,0.907,1.329,0.01,2.991,0.01
